Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,No,2,Not Graduate,Yes,17262,8741,465,240,1,Rural,Y
LP000002,Female,Yes,2,Not Graduate,No,20994,8834,543,300,1,Rural,N
LP000003,Male,Yes,2,Graduate,Yes,20050,4350,608,240,1,Rural,N
LP000004,Male,No,2,Not Graduate,No,10026,207,305,300,1,Semiurban,Y
LP000005,Male,No,3+,Graduate,No,17398,4190,152,240,1,Semiurban,Y
LP000006,Female,Yes,2,Not Graduate,Yes,23077,1883,170,300,1,Rural,Y
LP000007,Male,Yes,0,Graduate,No,2714,2886,468,180,1,Urban,Y
LP000008,Male,No,2,Not Graduate,No,22303,477,399,360,1,Rural,Y
LP000009,Male,No,3+,Graduate,Yes,16846,8953,91,360,1,Semiurban,Y
LP000010,Female,No,2,Not Graduate,Yes,1712,8381,416,300,0,Urban,N
LP000011,Male,No,0,Graduate,Yes,3158,6854,78,240,1,Rural,Y
LP000012,Male,Yes,3+,Not Graduate,Yes,13770,755,63,180,1,Urban,Y
LP000013,Male,No,3+,Not Graduate,No,15529,9638,534,240,1,Rural,N
LP000014,Male,No,0,Graduate,Yes,6524,4931,238,360,1,Semiurban,Y
LP000015,Female,Yes,0,Not Graduate,Yes,14539,9855,344,360,1,Rural,Y
LP000016,Male,No,0,Graduate,Yes,23801,5724,232,240,1,Urban,Y
LP000017,Female,Yes,0,Graduate,Yes,6641,4150,597,300,1,Semiurban,N
LP000018,Female,No,0,Not Graduate,Yes,19678,4060,86,300,1,Rural,Y
LP000019,Female,No,3+,Graduate,No,7488,4765,63,240,1,Rural,Y
LP000020,Male,Yes,3+,Not Graduate,Yes,15277,3612,684,360,1,Rural,N
LP000021,Female,Yes,2,Not Graduate,No,7078,6553,644,240,1,Rural,N
LP000022,Male,No,2,Graduate,Yes,23435,7378,208,360,0,Semiurban,N
LP000023,Female,No,1,Not Graduate,Yes,16551,1689,543,240,1,Semiurban,N
LP000024,Female,No,2,Graduate,Yes,5345,1316,378,300,0,Rural,N
LP000025,Female,Yes,2,Graduate,Yes,13382,7130,663,180,0,Semiurban,N
LP000026,Female,No,0,Not Graduate,Yes,24790,3186,132,360,0,Urban,N
LP000027,Female,Yes,0,Not Graduate,Yes,15747,5789,605,180,1,Semiurban,N
LP000028,Female,Yes,2,Graduate,Yes,12984,1145,629,300,0,Urban,N
LP000029,Female,No,1,Graduate,Yes,1878,4394,609,240,1,Urban,N
LP000030,Female,Yes,0,Not Graduate,No,4793,7942,618,300,1,Semiurban,N
LP000031,Male,No,2,Not Graduate,Yes,21213,7548,636,180,1,Rural,N
LP000032,Male,No,2,Not Graduate,No,22692,560,71,300,1,Semiurban,Y
LP000033,Female,No,3+,Not Graduate,Yes,13130,1912,181,300,1,Urban,Y
LP000034,Female,No,1,Graduate,No,15160,1864,514,240,1,Urban,N
LP000035,Female,No,3+,Not Graduate,Yes,18108,296,505,180,1,Semiurban,N
LP000036,Male,Yes,1,Graduate,Yes,2237,2409,351,180,1,Urban,N
LP000037,Female,Yes,0,Graduate,Yes,18119,7630,316,180,1,Semiurban,Y
LP000038,Male,No,1,Not Graduate,No,13970,1461,444,360,1,Semiurban,Y
LP000039,Male,No,2,Graduate,No,18595,4292,169,300,0,Rural,N
LP000040,Male,Yes,2,Not Graduate,No,23872,2268,295,180,1,Urban,Y
LP000041,Male,Yes,1,Graduate,No,17617,994,617,300,1,Semiurban,N
LP000042,Male,Yes,1,Not Graduate,Yes,16279,6554,87,240,0,Urban,N
LP000043,Female,Yes,1,Graduate,Yes,19772,7,294,240,1,Semiurban,Y
LP000044,Female,No,3+,Graduate,Yes,19143,2515,70,360,1,Semiurban,Y
LP000045,Female,No,1,Not Graduate,No,23130,1417,159,360,0,Rural,N
LP000046,Female,Yes,0,Not Graduate,Yes,8771,2316,655,240,0,Semiurban,N
LP000047,Female,No,3+,Graduate,No,18632,7358,443,180,1,Rural,Y
LP000048,Male,Yes,3+,Graduate,No,13678,3932,459,240,1,Urban,Y
LP000049,Female,No,1,Not Graduate,No,21435,6204,697,300,0,Rural,N
LP000050,Female,Yes,0,Graduate,No,15990,1287,57,360,1,Rural,Y
LP000051,Male,No,3+,Not Graduate,No,24284,1118,493,360,1,Urban,Y
LP000052,Female,Yes,2,Graduate,Yes,24527,8744,377,240,1,Rural,Y
LP000053,Male,Yes,3+,Not Graduate,No,15363,7637,339,180,1,Rural,Y
LP000054,Female,No,1,Graduate,No,3323,660,560,180,1,Semiurban,N
LP000055,Male,Yes,0,Not Graduate,Yes,8352,8907,410,300,0,Rural,N
LP000056,Female,No,1,Not Graduate,No,14572,6922,648,360,1,Semiurban,N
LP000057,Female,No,2,Graduate,No,12633,8104,268,240,1,Rural,Y
LP000058,Male,Yes,2,Not Graduate,Yes,16611,6337,455,240,1,Urban,Y
LP000059,Male,No,2,Graduate,Yes,22116,2529,670,360,1,Urban,N
LP000060,Male,No,1,Not Graduate,Yes,8019,3970,269,240,1,Rural,Y
LP000061,Male,No,3+,Not Graduate,No,3277,3407,644,360,0,Semiurban,N
LP000062,Male,No,1,Not Graduate,Yes,19106,9650,156,180,0,Rural,N
LP000063,Male,No,0,Graduate,Yes,16272,9046,630,180,1,Semiurban,N
LP000064,Male,Yes,3+,Not Graduate,Yes,15121,7416,658,240,1,Rural,N
LP000065,Male,No,2,Graduate,No,13359,4760,335,180,1,Urban,Y
LP000066,Female,No,1,Not Graduate,Yes,19661,1897,57,180,0,Urban,N
LP000067,Female,No,2,Graduate,No,10996,6364,238,300,1,Semiurban,Y
LP000068,Male,No,2,Graduate,No,8990,8464,130,360,0,Rural,N
LP000069,Female,No,0,Graduate,Yes,22743,4087,157,360,1,Semiurban,Y
LP000070,Female,Yes,3+,Not Graduate,No,10393,9464,370,240,1,Urban,Y
LP000071,Female,No,0,Graduate,No,4489,4374,628,360,1,Semiurban,N
LP000072,Female,Yes,0,Not Graduate,Yes,9843,7607,395,300,1,Rural,Y
LP000073,Male,Yes,0,Graduate,No,19209,4019,377,240,0,Semiurban,N
LP000074,Female,Yes,2,Graduate,Yes,13414,815,604,240,1,Rural,N
LP000075,Male,Yes,0,Graduate,No,23011,7255,351,360,1,Rural,Y
LP000076,Female,No,0,Graduate,No,10498,922,249,180,1,Urban,Y
LP000077,Female,Yes,3+,Not Graduate,Yes,4222,4867,468,180,1,Rural,Y
LP000078,Female,Yes,3+,Graduate,Yes,6156,1264,88,180,1,Rural,Y
LP000079,Male,No,0,Graduate,No,19209,3724,356,180,1,Rural,Y
LP000080,Female,No,3+,Not Graduate,No,5633,2722,53,300,1,Semiurban,Y
LP000081,Male,No,3+,Graduate,Yes,20753,5355,682,240,1,Urban,N
LP000082,Female,Yes,0,Graduate,No,2742,2550,126,180,1,Semiurban,Y
LP000083,Male,No,2,Graduate,No,10039,5319,517,300,1,Semiurban,N
LP000084,Female,No,0,Graduate,No,3331,6686,228,240,1,Urban,Y
LP000085,Male,Yes,3+,Not Graduate,No,19453,1673,694,360,1,Semiurban,N
LP000086,Male,No,2,Not Graduate,Yes,8746,4587,325,360,1,Semiurban,Y
LP000087,Female,No,1,Graduate,Yes,19802,5353,201,300,1,Rural,Y
LP000088,Male,No,2,Not Graduate,Yes,24300,6857,213,240,1,Semiurban,Y
LP000089,Female,No,3+,Not Graduate,Yes,4732,1666,339,180,1,Urban,Y
LP000090,Female,Yes,2,Graduate,Yes,5258,4511,427,240,1,Semiurban,Y
LP000091,Female,No,0,Not Graduate,Yes,7497,6172,670,180,1,Rural,N
LP000092,Female,No,1,Graduate,No,20239,1384,687,300,1,Semiurban,N
LP000093,Female,Yes,1,Not Graduate,Yes,12472,4403,359,180,0,Urban,N
LP000094,Female,No,1,Not Graduate,No,16868,3954,438,300,1,Rural,Y
LP000095,Female,Yes,3+,Not Graduate,No,3324,6305,232,240,1,Semiurban,Y
LP000096,Female,No,3+,Graduate,No,12183,8252,355,240,1,Urban,Y
LP000097,Female,Yes,1,Not Graduate,Yes,5560,7238,121,180,1,Urban,Y
LP000098,Female,Yes,2,Graduate,No,23208,6981,268,240,1,Semiurban,Y
LP000099,Female,Yes,1,Graduate,Yes,1904,6026,222,180,0,Semiurban,N
LP000100,Male,Yes,2,Not Graduate,No,19605,6609,321,240,1,Rural,Y
LP000101,Male,No,2,Graduate,No,23200,8664,517,360,1,Semiurban,N
LP000102,Female,Yes,3+,Not Graduate,Yes,12517,958,318,180,1,Rural,Y
LP000103,Female,No,2,Graduate,No,5345,8724,69,300,1,Semiurban,Y
LP000104,Female,Yes,1,Graduate,No,22094,493,627,360,1,Urban,N
LP000105,Female,Yes,3+,Not Graduate,No,12884,7042,552,300,0,Urban,N
LP000106,Female,Yes,0,Not Graduate,No,17948,81,196,240,0,Urban,N
